origins,destinations,path,free_flow_time,num_edges,total_length,mean_speed,pct_paved,pct_unpaved,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,pct_lit,bearing_std,num_turns,num_bridges,num_tunnels,speed_std,speed_range,lane_changes,priority_changes,num_traffic_lights
-70118560#4,18824167#4,"-70118560#4,70118560#4,18893592#3,18893867,704356867#0,704356867#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.9397213363017596,16.0,944.3428537974236,63.11925,0.0,0.0,0.0,0.0,0.0,0.0,0.6902612444938807,0.0,0.3097387555061193,0.0,91.20073787347263,7.0,0.0,0.0,20.885857324993868,50.004000000000005,0.0,28.0,0.0
-70118560#4,18824167#4,"-70118560#4,-18956068#1,18956081,-18893592#1,18893881,704356867#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.9250063172836592,16.0,798.2856221264917,61.245000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.7182966659498503,0.0,0.28170333405014975,0.0,98.41671123282333,5.0,0.0,0.0,20.61455897175586,50.004000000000005,0.0,28.0,0.0
-70118560#4,18824167#4,"-70118560#4,-18956068#1,18956081,-18893592#1,-18893592#0,675895700#0,675895700#1,-18825607#1,-18825607#0,18824127#0,18824127#1,18824127#2,18824167#8,18824167#1,18824167#2,18824167#3,18824167#4",0.8748064322843601,17.0,792.3713821162254,62.347764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.8187705130633977,0.0,0.1812294869366023,0.0,101.88890046394191,4.0,0.0,0.0,20.471286450567206,50.004000000000005,0.0,28.0,0.0
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-704356867#1,-18893881,18893592#1,18893592#2,-70118560#4",0.8532595475094636,12.0,836.3099310829601,61.662,0.0,0.0,0.0,0.0,0.0,0.0,0.678491040083493,0.0,0.321508959916507,0.0,112.16670569670845,5.0,0.0,0.0,20.373899988153298,50.004000000000005,0.0,14.0,0.0
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-704356867#1,-704356867#0,-18893867,-18893592#3,-70118560#4",0.8689855855560328,12.0,882.6375932777134,64.16099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7317455913203642,0.0,0.2682544086796358,0.0,108.7663985628276,6.0,0.0,0.0,20.65120232467218,50.004000000000005,0.0,7.0,0.0
18824167#4,-70118560#4,"18824167#4,18824167#5,18824167#6,18824093#0,18824093#1,18825607#0,18825607#1,-675895700#1,-675895700#0,18893592#0,18893592#1,18893592#2,-70118560#4",0.8030221587597894,13.0,830.3956910726938,63.072,0.0,0.0,0.0,0.0,0.0,0.0,0.7740806269902182,0.0,0.22591937300978177,0.0,108.28194562629122,4.0,0.0,0.0,20.158119555156926,50.004000000000005,0.0,21.0,0.0
-599926460#0,236168488,"-599926460#0,50002785#2,50002785#3,50002785#1,599926460#0,599926460#1,599926460#2,599926460#3,599926460#4,236168484#0,236168488",0.7320614350851932,11.0,850.3978078882121,50.00400000000001,0.3077120681656909,0.0,0.0,0.0,0.0,0.0,0.0,0.6235737249566953,0.3764262750433046,0.0,125.438340015349,4.0,0.0,0.0,7.452235082682191e-15,0.0,0.0,2.0,0.0
-599926460#0,236168488,"-599926460#0,50002785#2,-597120970#3,-597120970#2,-597120970#1,128801091#0,128801091#1,727154406,599926460#4,236168484#0,236168488",1.0319054475641949,11.0,1176.6081598526252,50.00400000000001,0.31382694008069384,0.0,0.0,0.0,0.0,0.0,0.0,0.4506901675969007,0.549309832403099,0.0,104.2421010158216,7.0,0.0,0.0,7.452235082682191e-15,0.0,0.0,2.0,0.0
-704356867#1,18958868,"-704356867#1,-704356867#0,-896219410,-18893845,18893592#5,18893592#6,18893592#7,18951224#0,-23390720#2,-18954519#5,-18954519#4,18954544#1,18954451#2,18954451#3,18955358#0,18955438,31057087#1,31057087#2,18958868",1.4547843428655882,19.0,1304.714382309095,48.94673684210528,0.0,0.0,0.0,0.0,0.0,0.0,0.17939988308083843,0.0,0.8206001169191615,0.0,108.63444677685163,8.0,0.0,0.0,13.702966040817206,50.004000000000005,0.0,14.0,0.0
-704356867#1,18958868,"-704356867#1,-704356867#0,-18893867,18893592#4,18893592#5,18893592#6,18893592#7,18951224#0,-23390720#2,-23390720#1,-23390720#0,18954451#1,18954451#2,18954451#3,18955358#0,18955438,31057087#1,31057087#2,18958868",1.3234254926300295,19.0,1157.4701415697468,50.0002105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.13481811200519103,0.0,0.8651818879948088,0.0,115.75922480229414,7.0,0.0,0.0,12.91097892656112,50.004000000000005,0.0,14.0,0.0
