origins,destinations,path,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_paved,pct_unpaved,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,pct_lit,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bridges_per_km,tunnels_per_km,bearing_std,turns_per_km,mean_circuity,edge_length_std,edges_per_km
-137901205#2,272326698#0,"-137901205#2,-137901205#1,-137901205#0,272325135#1,272325135#2,30281657#0,30281657#1,30281657#2,-272326707#0,272326700#0,272326700#1,30003998#5,30003998#6,30003998#7,30003998#1,47634912#0,47634912#1,-958659360,272326702#0,272326702#1,272326702#2,1162980174,272326698#0",0.5519128424721521,919.9542402232901,79.13426086956522,22.94693729854594,50.00399999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.49234960268337485,0.1516960372415652,0.0,0.35595436007505993,0.0,2.174021176873496,9.783095295930732,1.087010588436748,0.0,0.0,0.0,118.04558403770605,13.044127061240976,2.920740659069317,55.25844507088622,25.001243534045205
155612775#1,-47636025#1,"155612775#1,155612775#2,1008164579,155612781#2,155612781#3,155612781#4,155612770#0,155612770#1,155612770#2,-155612729,627897201#5,627897201#1,601132745,-601132749,1160860396,1160860405,601132744,1160860399,1160860402,175820999#0,175820999#1,175820999#2,175820999#3,123654767#0,123654767#1,30004159#4,-272326707#3,-272326707#2,-272326707#1,-272326707#0,272326700#0,272326700#1,30003998#5,30003998#6,30003998#7,30003998#1,47634912#0,47634912#1,47636025#0,47636025#1,-47636025#1",2.039841690860894,2680.090426507847,77.80565853658536,22.08403417812261,70.02,0.9743400414721026,0.28543508504467746,0.0,0.0,0.0,0.28543508504467746,0.2064459034399002,0.12294406620349654,0.26546106689753834,0.11971387841438756,0.0,1.4924869550808375,9.328043469255235,0.3731217387702094,0.0,0.0,0.0,82.80639133838702,7.835556514174397,1.9669448519735648,70.07092303257572,15.297991289578585
155612775#1,-47636025#1,"155612775#1,155612775#2,1008164579,155612781#2,155612781#3,155612781#4,155612770#0,155612770#1,155612770#2,-155612729,627897201#5,627897201#1,601132745,-601132749,1160860396,1160860405,601132744,1160860399,1160860402,175820999#0,175820999#1,175820999#2,175820999#3,175820999#4,175820999#5,175820999#6,36930778,75687481#1,1060093174,30003795#5,1060093172,-272326706#1,-272326706#0,272326699#0,272326699#1,30003998#7,30003998#1,47634912#0,47634912#1,47636025#0,47636025#1,-47636025#1",2.2628852600327085,2596.6330391920274,78.57514285714285,27.194159438012964,79.99199999999999,0.872589495361363,0.4841368512573862,0.0,0.0,0.0,0.39892871129800966,0.2336723541011112,0.0,0.2739931493069312,0.0,0.0,2.310684609430592,11.168308945581193,0.7702282031435306,0.0,0.0,0.0,75.44430804521541,6.932053828291775,1.9056946505936396,57.684435527695264,16.174792266014144
-137901205#0,14129285#1,"-137901205#0,272325135#1,272325135#2,30281657#0,30281657#1,30281657#2,-272326707#0,272326700#0,272326700#1,30003998#5,30003998#6,30003998#7,30003998#1,47634912#0,47634912#1,47636025#0,47636025#1,406055338,1008164513,30009660,47484151#0,47484151#1,-14129274#8,-14129274#7,-14129274#6,-14129274#5,-14129274#4,-14129274#3,-14129274#2,-14129274#1,14129285#0,14129285#1",0.9544083547159266,1686.0775069588879,84.3795,24.22603323273433,70.02,0.9396518124351134,0.5174556581187549,0.0,0.0,0.0,0.2877617484609377,0.5286970695656192,0.05555799114410761,0.0,0.1279831908293355,0.0,0.0,5.930925451960159,0.593092545196016,0.0,0.0,0.0,90.65405034645563,8.303295632744224,2.3584067108693065,50.11048312928372,18.97896144627251
-138258155,-137901204#0,"-138258155,138258155,361693180,361693179#0,361693179#1,-138260600#1,-138260600#0,48609231#4,48609231#5,48609231#6,48609231#7,48609231#8,48609231#9,48609231#10,48609231#11,30282413#2,30282413#3,30282413#4,30282072#0,30282072#1,30282072#2,30282072#3,659591814#1,608450918#2,608450919#0,608450919#1,608450917#0,608450917#1,608450917#2,272325126,1373830881#1,30282185,659591804,272325121#1,272325102#0,272325102#1,659591803,272325164#1,272325164#2,272325164#3,272325164#4,659591800#1,659591800#2,30009276#4,30009276#1,659591799#0,659591799#1,659591799#2,659591799#3,659591798,659591797#0,659591797#1,137901190#0,-137901204#6,-137901204#5,-137901204#4,-137901204#3,-137901204#2,-137901204#1,-137901204#0",2.214701064010918,2145.6424128961676,46.333200000000005,13.405385819746897,70.02,0.722506464964282,0.450611358871308,0.0,0.0,0.0,0.0,0.013738258977829397,0.0,0.0,0.9862617410221707,0.0,0.0,7.456974146220084,0.46606088413875524,0.0,0.0,0.0,78.73294887632657,8.855156798636349,2.677313139278165,26.661179679551104,27.963653048325316
-138258155,-137901204#0,"-138258155,138258155,361693180,361693179#0,361693179#1,-138260600#1,-138260600#0,48609231#4,48609231#5,48609231#6,48609231#7,48609231#8,48609231#9,48609231#10,48609231#11,30282413#2,30282413#3,30282413#4,30282072#0,30282072#1,30282072#2,30282072#3,659591814#1,608450918#2,608450919#0,608450919#1,608450917#0,608450917#1,-272325160#4,-272325160#3,-272325160#2,-272325160#1,-272325160#0,272325121#1,272325102#0,272325102#1,659591803,272325164#1,272325164#2,272325164#3,272325164#4,659591800#1,659591800#2,30009276#4,30009276#1,659591799#0,659591799#1,659591799#2,659591799#3,659591798,659591797#0,659591797#1,137901190#0,-137901204#6,-137901204#5,-137901204#4,-137901204#3,-137901204#2,-137901204#1,-137901204#0",2.290307015534796,2211.7402874608797,46.333200000000005,13.405385819746897,70.02,0.7307993612755239,0.4371448351365962,0.0,0.0,0.0,0.0,0.013327691008433416,0.0,0.0,0.9866723089915667,0.0,0.0,7.2341224196663285,0.45213265122914553,0.0,0.0,0.0,79.91191669553349,10.399050978270347,2.7597894675735204,27.52873518351697,27.12795907374873
-138258155,-137901204#0,"-138258155,138258155,361693180,361693179#0,361693179#1,-138260600#1,-138260600#0,48609231#4,48609231#5,48609231#6,48609231#7,48609231#8,48609231#9,48609231#10,48609231#11,30282413#2,38666770#0,38666770#1,38666770#2,659591813#1,659591812#1,-1350016835#0,14129274#0,14129285#0,14129285#1,14129285#2,14129285#3,14129285#4,14129285#5,1008164512,-406055338,-47636025#1,-47636025#0,-958659360,272326702#0,272326702#1,272326702#2,-272327839#3,-272327839#2,-272327839#1,-272327839#0,-659591795#0,-30002371,30009276#3,30009276#4,30009276#1,659591799#0,659591799#1,659591799#2,659591799#3,659591798,659591797#0,659591797#1,137901190#0,-137901204#6,-137901204#5,-137901204#4,-137901204#3,-137901204#2,-137901204#1,-137901204#0",3.014092188351223,2668.8794626684476,50.653180327868846,26.203377587318897,70.02,0.5564930232203593,0.6285460631259085,0.0,0.0,0.0,0.06468867267702319,0.38791849200288225,0.0,0.0,0.5473928353200944,0.0,0.7493781671204902,6.744403504084412,0.7493781671204902,0.0,0.0,0.0,93.85721011518405,7.493781671204902,3.3302035836004262,30.23250504832118,22.856034097174952
-138261771,-138264765#1,"-138261771,138261771,75684911#4,75684911#5,75684911#6,29105186#0,29105186#1,30009724#1,-29105205#5,-29105205#4,-29105205#3,-29105205#2,-29105205#1,-29105205#0,1059906011#0,1059906011#1,1087176579,729465740#1,729465740#2,-30283129#3,-30283129#2,-30283129#1,-30283129#0,30283199#3,30283199#1,1340121845,36930633#0,36930633#1,36930633#2,36930633#3,-175820999#3,-272325124#8,-272325124#7,-272325124#6,-272325124#5,-272325124#4,138264765#0,138264765#1,-138264765#1",1.9733887096935965,1972.736469855205,62.30676923076922,24.332043038868395,70.02,0.8185181233359444,0.17227577953542667,0.0,0.0,0.0,0.1554311855619474,0.12015308232463878,0.14840209932576987,0.07327793423706379,0.5027356985505803,0.10741044074637478,1.0138201582225506,18.75567292711719,1.0138201582225506,0.0,0.0,0.0,79.56495713321335,7.096741107557855,1.6487780321385006,43.86758605757498,19.76949308533974
-138261771,-138264765#1,"-138261771,138261771,75684911#4,75684911#5,75684911#6,29105186#0,29105186#1,30009724#1,-29105205#5,-29105205#4,-29105205#3,-29105205#2,-29105205#1,-29105205#0,1059906011#0,1087176580,1087176578#1,1087176579,729465740#1,729465740#2,-30283129#3,-30283129#2,-30283129#1,-30283129#0,30283199#3,30283199#1,1340121845,36930633#0,36930633#1,36930633#2,36930633#3,-175820999#3,-272325124#8,-272325124#7,-272325124#6,-272325124#5,-272325124#4,138264765#0,138264765#1,-138264765#1",1.9817274647354075,1987.7187497452342,61.99920000000001,24.0967123400683,70.02,0.8198860292690636,0.17851468830677364,0.0,0.0,0.0,0.15425963474469692,0.13534441497128477,0.13872397673161727,0.07272560734441685,0.49894636620798427,0.1066008426648656,1.0061785653812139,18.61430345955246,1.0061785653812139,0.0,0.0,0.0,79.30462610601072,7.546339240359105,1.6612999550265808,43.63186638674018,20.123571307624278
-138261771,-138264765#1,"-138261771,138261771,75684911#4,75684911#5,75684911#6,29105186#0,29105186#1,30009724#1,-29105205#5,-29105205#4,-29105205#3,-29105205#2,-29105205#1,-29105205#0,1059906011#0,1059906011#1,1087176579,729465740#1,729465740#2,-30283129#3,-30283129#2,-30283129#1,-30283129#0,30283199#3,30283199#1,1340121845,-1340121846#1,36930721#0,36930721#1,36930633#3,-175820999#3,-272325124#8,-272325124#7,-272325124#6,-272325124#5,-272325124#4,138264765#0,138264765#1,-138264765#1",2.109349832803748,2088.7058201514874,62.30676923076922,24.332043038868395,70.02,0.8285943797068652,0.16271066508428775,0.0,0.0,0.0,0.1468013184779879,0.11348192990152087,0.1401625019275275,0.06920938885238646,0.5303448608405773,0.10144678664620523,0.9575307258228191,17.71431842772215,0.9575307258228191,0.0,0.0,0.0,81.89795578197948,8.61777653240537,1.7457031511757735,45.54499562977112,18.671849153544972
