agent_id,origins,destinations,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edge_length_std,edges_per_km,h3_sequence
0,-144875560#0,-25329978#4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a75582408e7fff,8a75582408c7fff,8a75582408d7fff,8a75582408f7fff,8a7558240127fff,8a75582401affff,8a7558240187fff,8a755824019ffff,8a755824054ffff,8a755824055ffff,8a7558240477fff,8a755824040ffff,8a75582404e7fff,8a755824041ffff,8a7558240417fff,8a75582404a7fff,8a75582404b7fff,8a7558240497fff"
1,-29271718#1,-136140217#0,0.5,0.5,0.75,0.25,0.25,0.5,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.0,"8a755824429ffff,8a755824428ffff,8a755824466ffff,8a755824464ffff,8a755824465ffff,8a75582409b7fff,8a75582446cffff,8a7558240d67fff,8a7558240d77fff,8a7558240d57fff,8a7558240c07fff,8a7558240c17fff,8a7558240d9ffff,8a7558240d97fff,8a755824636ffff"
1,-29271718#1,-136140217#0,0.0,0.0,0.75,0.25,0.25,1.0,0.75,0.75,0.75,0.75,0.5,0.5,1.0,0.25,0.5,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.5,"8a755824429ffff,8a755824428ffff,8a755824466ffff,8a755824464ffff,8a755824465ffff,8a75582409b7fff,8a75582446cffff,8a7558240d67fff,8a7558240d77fff,8a7558240d57fff,8a7558240c07fff,8a7558240c17fff,8a7558240d9ffff,8a755824636ffff,8a7558240d97fff"
2,-136140217#0,-29271718#1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a755824636ffff,8a7558240d9ffff,8a7558240c17fff,8a7558240c07fff,8a7558240d57fff,8a7558240d77fff,8a7558240d67fff,8a75582446cffff,8a75582409b7fff,8a755824465ffff,8a755824464ffff,8a755824466ffff,8a755824429ffff,8a755824428ffff"
3,-136140217#0,144875556#12,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a755824636ffff,8a7558240d9ffff,8a7558240c17fff,8a7558240caffff,8a7558240c9ffff,8a7558240c8ffff,8a7558240527fff,8a7558240cd7fff,8a7558240cdffff,8a755824052ffff,8a755824050ffff,8a7558240557fff,8a7558240547fff,8a755824055ffff,8a7558240477fff"
4,-136140218,-136140217#0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8a755824636ffff,8a7558246347fff,8a7558240d97fff"
5,1307929464#3,29271629#1,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.0,0.41666666666666663,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,0.16666666666666666,1.0,0.5,0.41666666666666663,0.16666666666666663,0.6666666666666667,0.16666666666666663,0.5,0.5,0.33333333333333337,0.6666666666666667,0.5,0.16666666666666663,"8a7558240127fff,8a75582401a7fff,8a75582401affff,8a75582408f7fff,8a755824081ffff,8a755824080ffff,8a755824082ffff,8a755824095ffff,8a755824096ffff,8a75582455b7fff,8a7558244247fff,8a75582442effff,8a75582442e7fff,8a755824421ffff,8a7558244217fff,8a75582442affff,8a75582442a7fff,8a75582442b7fff,8a755824474ffff"
5,1307929464#3,29271629#1,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666663,0.41666666666666663,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.3333333333333333,0.5,0.6666666666666666,0.41666666666666663,0.6666666666666667,0.5,0.0,0.0,0.6666666666666667,0.16666666666666663,0.8333333333333334,0.8333333333333334,0.0,"8a7558240127fff,8a75582401a7fff,8a75582401affff,8a75582408f7fff,8a755824081ffff,8a755824080ffff,8a755824082ffff,8a755824095ffff,8a755824096ffff,8a75582455b7fff,8a75582442effff,8a75582442e7fff,8a755824421ffff,8a7558244217fff,8a75582442affff,8a75582442a7fff,8a75582442b7fff,8a755824474ffff"
5,1307929464#3,29271629#1,0.33333333333333337,0.5,0.16666666666666666,0.8333333333333334,0.41666666666666663,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.41666666666666663,0.33333333333333337,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.33333333333333337,0.5,0.5,0.16666666666666663,0.5,"8a7558240127fff,8a75582401a7fff,8a75582401affff,8a75582408f7fff,8a755824081ffff,8a755824080ffff,8a755824082ffff,8a755824095ffff,8a755824086ffff,8a75582454a7fff,8a755824558ffff,8a75582455affff,8a75582455b7fff,8a75582442effff,8a75582442e7fff,8a755824421ffff,8a7558244217fff,8a75582442affff,8a75582442a7fff,8a75582442b7fff,8a755824474ffff"
5,1307929464#3,29271629#1,0.5,0.33333333333333337,0.6666666666666666,0.5,0.41666666666666663,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.41666666666666663,0.8333333333333334,0.8333333333333334,0.5,0.33333333333333337,0.8333333333333334,0.8333333333333334,0.33333333333333337,0.6666666666666667,0.33333333333333337,"8a7558240127fff,8a75582401a7fff,8a75582401affff,8a75582408f7fff,8a755824081ffff,8a755824080ffff,8a755824082ffff,8a755824095ffff,8a755824086ffff,8a75582454a7fff,8a7558245417fff,8a7558245437fff,8a75582455affff,8a75582455b7fff,8a75582442effff,8a75582442e7fff,8a755824421ffff,8a7558244217fff,8a75582442affff,8a75582442a7fff,8a75582442b7fff,8a755824474ffff"
