origins,destinations,path,free_flow_time,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_paved,pct_unpaved,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,pct_lit,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bridges_per_km,tunnels_per_km,bearing_std,turns_per_km,mean_circuity,edge_length_std,edges_per_km,cluster
57680159,41273128#1,"57680159,-57680159,39353757#18,174375411#0,174375411#1,57680128,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,561133137,563273548,-57680132#1,-57680132#0,57680179#0,57680179#1,57680179#2,57680179#3,-979838980#6,-979838980#5,-979838980#4,-979838980#3,-979838980#2,-979838980#1,-979838980#0,-563298888,213840999,979842179,226068307,979842178#0,979842178#1,979842178#2,979842178#3,41231717,979842178#5,79116530#0,79116530#1,79116530#2,79116557#0,79116557#1,23881170,1020078542,1157449878#1,-1157449879,1020092137#1,1020092138,41273128#1",6.252455981059197,4552.996537324248,40.79088000000001,15.232465415630111,39.99600000000001,0.3235438950399052,0.2145606938249093,0.0,0.0,0.0,0.0,0.285160443421326,0.1703581064385844,0.0062103149934113,0.5382711351466781,0.0,0.0,3.953440300786705,0.4392711445318561,0.0,0.0,0.0,115.3637198317755,4.612347017584489,1.912797347438817,93.19475236636296,10.981778613296402,1
57680159,41273128#1,"57680159,-57680159,39353757#18,174375411#0,174375411#1,57680128,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,561133137,563273548,-57680132#1,-57680132#0,57680179#0,57680179#1,57680179#2,57680179#3,-979838980#6,-979838980#5,-979838980#4,-979838980#3,-979838980#2,-979838980#1,-979838980#0,-563298888,213840999,979842179,226068307,979842178#0,979842178#1,979842178#2,979842178#3,41231717,979842178#5,79116530#0,79116530#1,79116530#2,79116557#0,79116557#1,23881170,1020078542,1157449878#1,41231515#0,41273130,1020092138,41273128#1",6.214960983059997,4536.304134569616,40.79088000000001,15.232465415630111,39.99600000000001,0.3247344512382102,0.1720091474782476,0.0,0.0,0.0,0.0,0.2862097586413978,0.1709849793379384,0.0062331673146023,0.5365720947060612,0.0,0.0,3.9679879183646847,0.440887546484965,0.0,0.0,0.0,115.88947692209656,4.188431691607167,1.905784562902371,92.71244245387932,11.022188662124124,1
57680159,41273128#1,"57680159,-57680159,39353757#18,39353757#19,174907149,563297843,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,561133137,563273548,-57680132#1,-57680132#0,57680179#0,57680179#1,57680179#2,57680179#3,-979838980#6,-979838980#5,-979838980#4,-979838980#3,-979838980#2,-979838980#1,-979838980#0,-563298888,213840999,979842179,226068307,979842178#0,979842178#1,979842178#2,979842178#3,41231717,979842178#5,79116530#0,79116530#1,79116530#2,79116557#0,79116557#1,23881170,1020078542,1157449878#1,41231515#0,41273130,-41273130,41273130,1020092138,41273128#1",6.396593636121221,4654.9040637246335,40.37538461538462,15.077446777865497,39.99600000000001,0.31646070759413,0.1651183878968766,0.0,0.0,0.0,0.0,0.278917566013225,0.2584763239911078,0.0060743556201392,0.456531754375528,0.0,0.0,3.866889575721407,0.4296543973023785,0.0,0.0,0.0,114.6134656379584,4.081716774372596,1.9556105682670648,99.84398638288752,11.17101432986184,1
-979838980#5,-174375407#2,"-979838980#5,-979838980#4,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,561133136,561133138,-174375407#4,-174375407#3,-174375407#2",1.5772804136275564,1526.577827715321,51.10600000000001,14.50497633065774,39.99600000000001,0.7555672512949636,0.3042877169233905,0.0,0.0,0.0,0.0,0.7296385195099384,0.2703614804900616,0.0,0.0,0.0,0.0,0.6550599529514992,0.6550599529514992,0.0,0.0,0.0,81.17833678257608,1.9651798588544973,3.86323076035144,77.22338811415861,11.791079153126985,1
-979838980#5,57680181#1,"-979838980#5,-979838980#4,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,561133136,561133138,-174375407#4,-174375407#3,-174375407#2,-174375407#1,-174375407#0,-563297843,-174907149,-39353757#19,-39353757#18,57680181#0,57680181#1",3.702850641718793,2850.7460833206005,44.608153846153854,15.552094422790285,39.99600000000001,0.4046071377325766,0.1629464246637793,0.0,0.0,0.0,0.0,0.3907222718459274,0.4304589057589046,0.0,0.178818822395168,0.0,0.0,2.8062829049585,0.7015707262396249,0.0,0.0,0.0,91.12842575346106,1.7539268155990622,9.282782111796998,114.87132495628174,9.120419441115123,1
-979838980#5,57680181#1,"-979838980#5,-979838980#4,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,561133136,561133138,-174375407#4,-174375407#3,-174375407#2,-174375407#1,-174375407#0,-563297843,-174907149,-39353757#19,-39353757#18,-39353757#17,39353757#17,57680181#0,57680181#1",4.044487296380657,3048.00269644993,43.56385714285715,15.44842466309846,39.99600000000001,0.3784223073418298,0.1524010731494426,0.0,0.0,0.0,0.0,0.3654360238684264,0.4026010347864622,0.0,0.2319629413451117,0.0,0.0,2.6246695940649136,0.6561673985162284,0.0,0.0,0.0,93.17545447152808,2.296585894806799,9.92510173840426,110.5727331670396,9.186343579227197,1
-1116499322,57680145#0,"-1116499322,57680111,57680112#1,1116499324#0,1116499324#1,1116499324#2,57680145#0",0.4893750012604033,395.95120619644354,38.56628571428572,10.699002036238175,20.016000000000005,0.0999923854010197,0.0,0.0,0.0,0.0,0.1505231771112322,0.0,0.0,0.0,0.8494768228887676,0.0,2.525563716817848,22.73007345136063,2.525563716817848,0.0,5.051127433635696,0.0,128.9356814177873,5.051127433635696,1.345886866516323,51.518704707225496,17.678946017724936,2
57680145#0,-1116499322,"57680145#0,57680145#1,1264978471,561133118,-57680114#0,-1264978471,-57680145#1,-57680145#0,-1116499324#2,-1116499324#1,-1116499324#0,-57680112#1,-57680112#0,1116499322,-1116499322",2.802713270155057,1960.3043715792244,43.32720000000001,17.596646316841174,50.004000000000005,0.3372512234900868,0.0,0.0,0.0,0.0,0.0608067138979031,0.0,0.0,0.3170543060195117,0.6221389800825852,0.0,0.5101248635151481,5.611373498666629,0.5101248635151481,0.0,1.020249727030296,0.0,93.88441156407411,2.0404994540605923,7.520503483229154,145.87422970734602,7.651872952727222,1
-1020092137#1,-22561653,"-1020092137#1,1157449879,-1157449878#1,-1157449878#0,1020078539,1020078540,-41231514#8,-41231514#7,-41231514#6,-41231514#5,-41231514#4,-41231514#3,-41231514#2,-41231514#1,-41231514#0,870315480,-979842178#0,-226068307,213840997,1157449881,979838980#0,979838980#1,979838980#2,979838980#3,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3,-22561652#2,-22561652#1,-22561652#0,-174907151#4,-174907151#1,-174907152#2,-174907152#1,-174907152#0,-22561653",4.544050681872265,3413.3310575915507,39.79482352941177,14.62869765454996,39.99600000000001,0.4115003055873375,0.3586730079249181,0.0,0.0,0.0,0.1780779494067327,0.3938951105429978,0.0,0.0,0.4280269400502693,0.0,0.2929689453286142,2.636720507957528,0.0,0.5859378906572285,2.343751562628914,0.0,50.70224548157594,3.808596289271985,1.505684224256694,61.98870632056188,14.941416211759329,1
-1020092137#1,-22561653,"-1020092137#1,1157449879,-1157449878#1,-1157449878#0,1020078539,-79116557#4,-79116557#3,-79116557#2,-79116557#1,-79116557#0,79116530#3,-979842178#5,-979842178#4,-979842178#3,-979842178#2,-979842178#1,-979842178#0,-226068307,213840997,1157449881,979838980#0,979838980#1,979838980#2,979838980#3,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3,-22561652#2,-22561652#1,-22561652#0,-174907151#4,-174907151#1,-174907152#2,-174907152#1,-174907152#0,-22561653",4.53756808883505,3402.4610539190257,39.79482352941177,14.62869765454996,39.99600000000001,0.4128149451268048,0.3627367781295024,0.0,0.0,0.0,0.1786468634760994,0.3951535059310244,0.0,0.0029179005380118,0.4232817300548641,0.0,0.2939049071107453,3.232953978218198,0.2939049071107453,0.5878098142214907,2.351239256885963,0.0,49.35550318205488,3.232953978218198,1.5008892621592052,66.47889378797238,14.989150262648012,1
-1020092137#1,-22561653,"-1020092137#1,1157449879,-1157449878#1,-1157449878#0,1020078539,1020078540,-41231514#8,-41231514#7,-41231514#6,-41231514#5,-41231514#4,1162803895,-41231514#2,-41231514#1,-41231514#0,870315480,-979842178#0,-226068307,213840997,1157449881,979838980#0,979838980#1,979838980#2,979838980#3,979838980#4,979838980#5,979838980#6,57680170#0,57680170#1,57680132#0,57680132#1,174375406,1238123693,1238123694,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3,-22561652#2,-22561652#1,-22561652#0,-174907151#4,-174907151#1,-174907152#2,-174907152#1,-174907152#0,-22561653",4.555885552609617,3437.384403252858,40.18729411764706,14.628832871140636,39.99600000000001,0.424075294442395,0.3561631676432101,0.0,0.0,0.0,0.1768318360922941,0.3911388010539503,0.0,0.0,0.4320293628537555,0.0,0.2909188739710584,2.6182698657395256,0.0,0.5818377479421168,2.3273509917684674,0.0,50.70224548157594,3.7819453616237593,1.5162946052867656,61.78607665401805,14.836862572523978,1
57680110,-22561652#3,"57680110,-57680110,-39353757#5,-39353757#4,-39353757#3,-39353757#2,-39353757#1,-39353757#0,57680128,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,563272698,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3",2.157985944557809,1395.2306614965607,35.59248,9.172483511023612,20.016000000000005,0.154224476477599,0.0980392080459262,0.0,0.0,0.0,0.0896710203370821,0.0500375067461411,0.5737977663422755,0.0,0.2864937065745011,0.0,0.7167273681667616,6.450546313500855,0.0,0.0,3.5836368408338086,0.0,100.80652871366073,5.733818945334093,1.6732965566400078,78.59210733380401,17.91818420416904,0
57680110,-22561652#3,"57680110,-57680110,-39353757#5,-39353757#4,-39353757#3,39353757#3,-39353757#3,-39353757#2,-39353757#1,-39353757#0,57680128,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,563272698,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3",2.202683823709469,1440.252558391294,35.177333333333344,8.938666911449726,20.016000000000005,0.1494034619699947,0.0949745295000917,0.0,0.0,0.0,0.0868679290260894,0.048473348115442,0.5558610067620355,0.0,0.308797716096433,0.0,0.6943226687387113,6.2489040186484015,0.0,0.0,3.4716133436935563,0.0,107.49256120426686,6.943226687387113,1.7272912022038835,76.02999197459171,18.746712055945206,0
57680110,-22561652#3,"57680110,-57680110,57680106,39353757#15,39353757#16,39353757#17,57680181#0,57680181#1,-39353757#0,57680128,174375407#0,174375407#1,174375407#2,174375407#3,174375407#4,174375402,174375403,563272698,563272697,563271328,1238123691,-22561498,-22561652#6,-22561652#5,-22561652#4,-22561652#3",4.004124399939961,2329.892677850566,35.376923076923084,9.054123926357878,20.016000000000005,0.0923556352532571,0.0587097038395387,0.0,0.0,0.0,0.0536985064639973,0.0299644117949088,0.3436124954208425,0.0,0.5727245863202514,0.0,0.4292043189399377,3.86283887045944,0.0,0.0,2.146021594699689,0.0,104.00627481081288,3.86283887045944,2.794234317504446,101.566628978923,11.159312292438385,0
-174907152#1,-57392457#0,"-174907152#1,-174907152#0,174907152#0,174907152#1,174907152#2,-57392486,1163710302,57392474,-57392457#0",1.4004597522462223,522.4059185945291,21.108,10.530384608360704,19.98,0.0,0.4071570638712242,0.0,0.0,0.0,0.4071570638712242,0.0,0.0,0.0,0.5928429361287758,0.0,1.9142202727916653,17.227982455124987,1.9142202727916653,0.0,0.0,0.0,85.36896705236663,9.571101363958327,2.644336109914455,29.85887918820982,17.227982455124987,2
-57392457#0,1116499317#0,"-57392457#0,57392457#0,57392457#1,-22561652#0,-174907151#4,-174907151#1,1116499317#0",1.2461907784696613,369.0315082596762,21.425142857142852,10.67975922682048,19.98,0.0,0.4541528904420254,0.0,0.0,0.0,0.3982414389092942,0.0,0.0,0.0559114515327312,0.5458471095579744,0.0,5.419591431181159,46.06652716503985,2.7097957155905794,5.419591431181159,2.7097957155905794,0.0,135.45342133805607,8.129387146771737,2.306260406346266,32.58321470597398,18.96857000913405,2
79119287#2,-561133140#1,"79119287#2,79116549#5,79116549#6,79119284#1,-561133140#1",1.0921968787515004,646.048714055925,29.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.43610056356951,3.095741786163312,1.1172573593179618,125.724975183329,7.739354465408279,0
79119287#1,-561133140#1,"79119287#1,79119287#2,79116549#5,79116549#6,79119284#1,-561133140#1",1.3364145658263304,777.1859749614326,29.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99031883216114,2.573386633873892,1.1056046513905868,112.45458963012408,7.720159901621676,0
